Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0603_1608Metric",128.000000,-93.000000,90.000000,top
"R1","10k","R_0603_1608Metric",126.000000,-101.000000,0.000000,top
"R2","10k","R_0603_1608Metric",126.000000,-103.000000,0.000000,top
"R3","1.5k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",131.000000,-93.000000,270.000000,top
"R4","1.5k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",138.000000,-93.000000,270.000000,top
"R5","1.5k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",140.000000,-98.000000,180.000000,top
"R6","390","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",134.000000,-93.000000,270.000000,top
"R7","390","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",141.000000,-93.000000,270.000000,top
"R8","390","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",140.000000,-101.000000,0.000000,top
"U1","MAX6698","TSSOP-16_4.4x5mm_P0.65mm",133.000000,-99.000000,180.000000,top
